Year,No.,Title,Winner?,USD Budget,USD Box Office
1940,13th,Kitty Foyle,FALSE,738000,2385000
1940,13th,The Letter,FALSE,,
1940,13th,The Long Voyage Home,FALSE,682495,580129
1940,13th,Our Town,FALSE,,
1940,13th,The Philadelphia Story,FALSE,914000,3259000
1941,14th,How Green Was My Valley,TRUE,800000,6000000
1941,14th,Blossoms in the Dust,FALSE,1112000,2658000
1941,14th,Citizen Kane,FALSE,839727,
1941,14th,Here Comes Mr. Jordan,FALSE,,
1941,14th,Hold Back the Dawn,FALSE,,
1941,14th,The Little Foxes,FALSE,,
1941,14th,The Maltese Falcon,FALSE,375000,
1941,14th,One Foot in Heaven,FALSE,,
1941,14th,Sergeant York,FALSE,1400000,16361885
1941,14th,Suspicion,FALSE,1103000,4500000
1942,15th,Mrs. Miniver,TRUE,1340000,8878000
1942,15th,The Invaders,FALSE,132000,392500
1942,15th,Kings Row,FALSE,1081698,5093000
1942,15th,The Magnificent Ambersons,FALSE,1100000,210966
1942,15th,The Pied Piper,FALSE,,
1942,15th,The Pride of the Yankees,FALSE,,
1942,15th,Random Harvest,FALSE,1210000,4650000
1942,15th,The Talk of the Town,FALSE,1000000,
1942,15th,Wake Island,FALSE,,3500000
1942,15th,Yankee Doodle Dandy,FALSE,,11800000
1943,16th,Casablanca,TRUE,878000,3700000
1943,16th,For Whom the Bell Tolls,FALSE,,7100000
1943,16th,Heaven Can Wait,FALSE,1115000,2500000
1943,16th,The Human Comedy,FALSE,1000000,3900000
1943,16th,In Which We Serve,FALSE,376800,471000
1943,16th,Madame Curie,FALSE,1938000,4610000
1943,16th,The More the Merrier,FALSE,878000,
1943,16th,The Ox-Bow Incident,FALSE,565000,750000
1943,16th,The Song of Bernadette,FALSE,1600000,5000000
1943,16th,Watch on the Rhine,FALSE,,
1944,17th,Going My Way,TRUE,,6500000
1944,17th,Double Indemnity,FALSE,980000,5000000
1944,17th,Gaslight,FALSE,2068000,4613000
1944,17th,Since You Went Away,FALSE,3257000,7000000
1944,17th,Wilson,FALSE,2995000,2000000
1945,18th,The Lost Weekend,TRUE,1250000,11000000
1945,18th,Anchors Aweigh,FALSE,2580000,7475000
1945,18th,The Bells of St. Mary's,FALSE,,21333333
1945,18th,Mildred Pierce,FALSE,1453000,5638000
1945,18th,Spellbound,FALSE,1500000,6387000
1946,19th,The Best Years of Our Lives,TRUE,2100000,23650000
1946,19th,Henry V,FALSE,7.46862E+11,2000000
1946,19th,It's a Wonderful Life,FALSE,3180000,3300000
1946,19th,The Razor's Edge,FALSE,1200000,5000000
1946,19th,The Yearling,FALSE,3883000,7599000
1947,20th,Gentleman's Agreement,TRUE,1985000,7800000
1947,20th,The Bishop's Wife,FALSE,,
1947,20th,Crossfire,FALSE,678000,
1947,20th,Great Expectations,FALSE,,
1947,20th,Miracle on 34th Street,FALSE,630000,3150000
1948,21st,Hamlet,TRUE,828222.1,3250000
1948,21st,Johnny Belinda,FALSE,,4100000
1948,21st,The Red Shoes,FALSE,505581,5000000
1948,21st,The Snake Pit,FALSE,,4100000
1948,21st,The Treasure of the Sierra Madre,FALSE,3000000,4307000
1949,22nd,All the King's Men,TRUE,,2400000
1949,22nd,Battleground,FALSE,1631000,6269000
1949,22nd,The Heiress,FALSE,2600000,2300000
1949,22nd,A Letter to Three Wives,FALSE,,
1949,22nd,Twelve O'Clock High,FALSE,,3225000
1950,23rd,All About Eve,TRUE,1400000,8400000
1950,23rd,Born Yesterday,FALSE,,4150000
1950,23rd,Father of the Bride,FALSE,1215000,6084000
1950,23rd,King Solomon's Mines,FALSE,2258000,9955000
1950,23rd,Sunset Boulevard,FALSE,1750000,5000000
1951,24th,An American in Paris,TRUE,2724000,6981000
1951,24th,Decision Before Dawn,FALSE,,1550000
1951,24th,A Place in the Sun,FALSE,2295304,7000000
1951,24th,Quo Vadis,FALSE,7623000,21037000
1951,24th,A Streetcar Named Desire,FALSE,1800000,8000000
1952,25th,The Greatest Show on Earth,TRUE,,12800000
1952,25th,High Noon,FALSE,730000,12000000
1952,25th,Ivanhoe,FALSE,3842000,10878000
1952,25th,Moulin Rouge,FALSE,2355000,5000000
1952,25th,The Quiet Man,FALSE,1750000,3200000
1953,26th,From Here to Eternity,TRUE,1650000,30500000
1953,26th,Julius Caesar,FALSE,2070000,3920000
1953,26th,The Robe,FALSE,4100000,36000000
1953,26th,Roman Holiday,FALSE,1500000,12000000
1953,26th,Shane,FALSE,3100000,20000000
1954,27th,On the Waterfront,TRUE,910000,9600000
1954,27th,The Caine Mutiny,FALSE,2000000,21800000
1954,27th,The Country Girl,FALSE,,6500000
1954,27th,Seven Brides for Seven Brothers,FALSE,2540000,9403000
1954,27th,Three Coins in the Fountain,FALSE,1700000,5000000
1955,28th,Marty,TRUE,350000,2000000
1955,28th,Love Is a Many-Splendored Thing,FALSE,1780000,3000000
1955,28th,Mister Roberts,FALSE,,21200000
1955,28th,Picnic,FALSE,,6300000
1955,28th,The Rose Tattoo,FALSE,,4200000
1956,29th,Around the World in 80 Days,TRUE,6000000,42000000
1956,29th,Friendly Persuasion,FALSE,3000000,8000000
1956,29th,Giant,FALSE,5400000,39000000
1956,29th,The King and I,FALSE,4550000,21300000
1956,29th,The Ten Commandments,FALSE,13000000,122700000
1957,30th,The Bridge on the River Kwai,TRUE,2840000,30600000
1957,30th,12 Angry Men,FALSE,340000,1000000
1957,30th,Peyton Place,FALSE,2200000,25600000
1957,30th,Sayonara,FALSE,,22000115
1957,30th,Witness for the Prosecution,FALSE,3000000,9000000
1958,31st,Gigi,TRUE,3319355,13208725
1958,31st,Auntie Mame,FALSE,,9000000
1958,31st,Cat on a Hot Tin Roof,FALSE,2345000,11285000
1958,31st,The Defiant Ones,FALSE,778000,
1958,31st,Separate Tables,FALSE,,3100000
1959,32nd,Ben-Hur,TRUE,15200000,146900000
1959,32nd,Anatomy of a Murder,FALSE,,11000000
1959,32nd,The Diary of Anne Frank,FALSE,3800000,2300000
1959,32nd,The Nun's Story,FALSE,3500000,12800000
1959,32nd,Room at the Top,FALSE,439600,
1960,33rd,The Apartment,TRUE,3000000,24600000
1960,33rd,The Alamo,FALSE,12000000,7200000
1960,33rd,Elmer Gantry,FALSE,3000000,5200000
1960,33rd,Sons and Lovers,FALSE,805000,1500000
1960,33rd,The Sundowners,FALSE,,
1961,34th,West Side Story,TRUE,6000000,43700000
1961,34th,Fanny,FALSE,,4500000
1961,34th,The Guns of Navarone,FALSE,6000000,28900000
1961,34th,The Hustler,FALSE,2125000,7600000
1961,34th,Judgment at Nuremberg,FALSE,3000000,10000000
1962,35th,Lawrence of Arabia,TRUE,15000000,70000000
1962,35th,The Longest Day,FALSE,7750000,50100000
1962,35th,The Music Man,FALSE,,14953846
1962,35th,Mutiny on the Bounty,FALSE,19000000,13680000
1962,35th,To Kill a Mockingbird,FALSE,2000000,13100000
1963,36th,Tom Jones,TRUE,1570000,37600000
1963,36th,"America, America",FALSE,,
1963,36th,Cleopatra,FALSE,31115000,57777778
1963,36th,How the West Was Won,FALSE,14483000,50000000
1963,36th,Lilies of the Field,FALSE,240000,3000000
1964,37th,My Fair Lady,TRUE,17000000,72000000
1964,37th,Becket,FALSE,3000000,9164370
1964,37th,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,FALSE,1800000,9400000
1964,37th,Mary Poppins,FALSE,,102272727
1964,37th,Zorba the Greek,FALSE,783000,23500000
1965,38th,The Sound of Music,TRUE,8200000,286214286
1965,38th,Darling,FALSE,628000,12000000
1965,38th,Doctor Zhivago,FALSE,11000000,111721910
1965,38th,Ship of Fools,FALSE,,3500000
1965,38th,A Thousand Clowns,FALSE,,2400000
1966,39th,A Man for All Seasons,TRUE,2000000,28400000
1966,39th,Alfie,FALSE,800000,18871300
1966,39th,"The Russians Are Coming, the Russians Are Coming",FALSE,3900000,21693114
1966,39th,The Sand Pebbles,FALSE,12110000,30017647
1966,39th,Who's Afraid of Virginia Woolf?,FALSE,7500000,40000000
1967,40th,In the Heat of the Night,TRUE,2000000,24379978
1967,40th,Bonnie and Clyde,FALSE,2500000,50700000
1967,40th,Doctor Dolittle,FALSE,17015000,9000000
1967,40th,The Graduate,FALSE,3000000,104901839
1967,40th,Guess Who's Coming to Dinner,FALSE,4000000,56666667
1968,41st,Oliver!,TRUE,10000000,77402877
1968,41st,Funny Girl,FALSE,14100000,58500000
1968,41st,The Lion in Winter,FALSE,10000000,22276975
1968,41st,"Rachel, Rachel",FALSE,780000,3000000
1968,41st,Romeo and Juliet,FALSE,850000,38901218
1969,42nd,Midnight Cowboy,TRUE,3200000,44785053
1969,42nd,Anne of the Thousand Days,FALSE,,6134264
1969,42nd,Butch Cassidy and the Sundance Kid,FALSE,6000000,102300000
1969,42nd,"Hello, Dolly!",FALSE,25000000,26000000
1969,42nd,Z,FALSE,,14283305
1970,43rd,Patton,TRUE,12625000,61749765
1970,43rd,Airport,FALSE,10200000,100489151
1970,43rd,Five Easy Pieces,FALSE,1600000,18099091
1970,43rd,Love Story,FALSE,2200000,136397186
1970,43rd,MASH,FALSE,3025000,81600000
1971,44th,The French Connection,TRUE,1800000,51700000
1971,44th,A Clockwork Orange,FALSE,2200000,26600000
1971,44th,Fiddler on the Roof,FALSE,9000000,83387607
1971,44th,The Last Picture Show,FALSE,1300000,29133000
1971,44th,Nicholas and Alexandra,FALSE,,
1972,45th,The Godfather,TRUE,6000000,245100000
1972,45th,Cabaret,FALSE,2285000,42765000
1972,45th,Deliverance,FALSE,2000000,46122355
1972,45th,The Emigrants,FALSE,1600000,
1972,45th,Sounder,FALSE,900000,16889761
1973,46th,The Sting,TRUE,5500000,159616327
1973,46th,American Graffiti,FALSE,777000,140000000
1973,46th,Cries and Whispers,FALSE,400000,2130705
1973,46th,The Exorcist,FALSE,12000000,402700000
1973,46th,A Touch of Class,FALSE,,16800000
1974,47th,The Godfather Part II,TRUE,13000000,47500000
1974,47th,Chinatown,FALSE,6000000,29200000
1974,47th,The Conversation,FALSE,1600000,4420000
1974,47th,Lenny,FALSE,,11622000
1974,47th,The Towering Inferno,FALSE,14265000,139700000
1975,48th,One Flew Over the Cuckoo's Nest,TRUE,3000000,108981275
1975,48th,Barry Lyndon,FALSE,11000000,20000000
1975,48th,Dog Day Afternoon,FALSE,1800000,50000000
1975,48th,Jaws,FALSE,9000000,470700000
1975,48th,Nashville,FALSE,2200000,9984123
1976,49th,Rocky,TRUE,1075000,225000000
1976,49th,All the President's Men,FALSE,8500000,70600000
1976,49th,Bound for Glory,FALSE,,
1976,49th,Network,FALSE,3800000,23689877
1976,49th,Taxi Driver,FALSE,1300000,28262574
1977,50th,Annie Hall,TRUE,4000000,38251425
1977,50th,The Goodbye Girl,FALSE,,102000000
1977,50th,Julia,FALSE,7840000,20714400
1977,50th,Star Wars,FALSE,11000000,775400000
1977,50th,The Turning Point,FALSE,,33600000
1978,51st,The Deer Hunter,TRUE,15000000,49000000
1978,51st,Coming Home,FALSE,3000000,32653905
1978,51st,Heaven Can Wait,FALSE,15000000,81640278
1978,51st,Midnight Express,FALSE,2300000,35000000
1978,51st,An Unmarried Woman,FALSE,2515000,24000000
1979,52nd,Kramer vs. Kramer,TRUE,8000000,106260000
1979,52nd,All That Jazz,FALSE,12000000,37823676
1979,52nd,Apocalypse Now,FALSE,31000000,81300000
1979,52nd,Breaking Away,FALSE,2300000,20000000
1979,52nd,Norma Rae,FALSE,4500000,22228000
1980,53rd,Ordinary People,TRUE,6000000,54766923
1980,53rd,Coal Miner's Daughter,FALSE,15000000,67182787
1980,53rd,The Elephant Man,FALSE,5000000,26000000
1980,53rd,Raging Bull,FALSE,18000000,23400000
1980,53rd,Tess,FALSE,12000000,20100000
1981,54th,Chariots of Fire,TRUE,4710000,58972904
1981,54th,Atlantic City,FALSE,7200000,12729675
1981,54th,On Golden Pond,FALSE,15000000,119285432
1981,54th,Raiders of the Lost Ark,FALSE,18000000,389900000
1981,54th,Reds,FALSE,32000000,50000000
1982,55th,Gandhi,TRUE,22000000,127800000
1982,55th,E.T. the Extra-Terrestrial,FALSE,10500000,792900000
1982,55th,Missing,FALSE,5000000,16000000
1982,55th,Tootsie,FALSE,21000000,177200000
1982,55th,The Verdict,FALSE,16000000,53977250
1983,56th,Terms of Endearment,TRUE,8000000,108423489
1983,56th,The Big Chill,FALSE,,56399659
1983,56th,The Dresser,FALSE,,5310748
1983,56th,The Right Stuff,FALSE,19000000,21192102
1983,56th,Tender Mercies,FALSE,4500000,8440000
1984,57th,Amadeus,TRUE,18000000,52000000
1984,57th,The Killing Fields,FALSE,14400000,34700291
1984,57th,A Passage to India,FALSE,26690000,27187653
1984,57th,Places in the Heart,FALSE,9500000,34901614
1984,57th,A Soldier's Story,FALSE,,21821347
1985,58th,Out of Africa,TRUE,28000000,128499205
1985,58th,The Color Purple,FALSE,15000000,142000000
1985,58th,Kiss of the Spider Woman,FALSE,,17005229
1985,58th,Prizzi's Honor,FALSE,16000000,26657534
1985,58th,Witness,FALSE,12000000,68706993
1986,59th,Platoon,TRUE,6000000,138500000
1986,59th,Children of a Lesser God,FALSE,2000000,31853080
1986,59th,Hannah and Her Sisters,FALSE,6400000,59000000
1986,59th,The Mission,FALSE,25901860,17218023
1986,59th,A Room with a View,FALSE,3611000,20966644
1987,60th,The Last Emperor,TRUE,23800000,43984230
1987,60th,Broadcast News,FALSE,15000000,67331309
1987,60th,Fatal Attraction,FALSE,14000000,320145693
1987,60th,Hope and Glory,FALSE,9300000,10021120
1987,60th,Moonstruck,FALSE,15000000,91640528
1988,61st,Rain Man,TRUE,25000000,354800000
1988,61st,The Accidental Tourist,FALSE,,32632093
1988,61st,Dangerous Liaisons,FALSE,14000000,34700000
1988,61st,Mississippi Burning,FALSE,,34603943
1988,61st,Working Girl,FALSE,28600000,102953112
1989,62nd,Driving Miss Daisy,TRUE,7500000,145793296
1989,62nd,Born on the Fourth of July,FALSE,14000000,161001698
1989,62nd,Dead Poets Society,FALSE,16400000,235800000
1989,62nd,Field of Dreams,FALSE,15000000,84431625
1989,62nd,My Left Foot,FALSE,942000,14743391
1990,63rd,Dances with Wolves,TRUE,22000000,424208848
1990,63rd,Awakenings,FALSE,31000000,52096475
1990,63rd,Ghost,FALSE,22000000,505700000
1990,63rd,The Godfather Part III,FALSE,54000000,136800000
1990,63rd,Goodfellas,FALSE,25000000,46800000
1991,64th,The Silence of the Lambs,TRUE,19000000,272700000
1991,64th,Beauty and the Beast,FALSE,25000000,425000000
1991,64th,Bugsy,FALSE,30000000,49114016
1991,64th,JFK,FALSE,40000000,205405498
1991,64th,The Prince of Tides,FALSE,30000000,74787599
1992,65th,Unforgiven,TRUE,14400000,159200000
1992,65th,The Crying Game,FALSE,2300000,62548947
1992,65th,A Few Good Men,FALSE,33000000,243200000
1992,65th,Howards End,FALSE,8000000,25966555
1992,65th,Scent of a Woman,FALSE,31000000,134095253
1993,66th,Schindler's List,TRUE,22000000,321200000
1993,66th,The Fugitive,FALSE,44000000,368900000
1993,66th,In the Name of the Father,FALSE,13000000,65796862
1993,66th,The Piano,FALSE,7000000,140000000
1993,66th,The Remains of the Day,FALSE,15000000,63954968
1994,67th,Forrest Gump,TRUE,55000000,677945399
1994,67th,Four Weddings and a Funeral,FALSE,4396000,241828494.2
1994,67th,Pulp Fiction,FALSE,8000000,213900000
1994,67th,Quiz Show,FALSE,31000000,24822619
1994,67th,The Shawshank Redemption,FALSE,25000000,28300000
1995,68th,Braveheart,TRUE,72000000,210409945
1995,68th,Apollo 13,FALSE,52000000,355237933
1995,68th,Babe,FALSE,30000000,254134910
1995,68th,The Postman (Il Postino),FALSE,3000000,21848932
1995,68th,Sense and Sensibility,FALSE,16000000,134993774
1996,69th,The English Patient,TRUE,27000000,231976425
1996,69th,Fargo,FALSE,7000000,60611975
1996,69th,Jerry Maguire,FALSE,50000000,273500000
1996,69th,Secrets & Lies,FALSE,4500000,13417292
1996,69th,Shine,FALSE,6000000,35892330
1997,70th,Titanic,TRUE,200000000,2187000000
1997,70th,As Good as It Gets,FALSE,50000000,314178011
1997,70th,The Full Monty,FALSE,4710000,251277470.1
1997,70th,Good Will Hunting,FALSE,10000000,225900000
1997,70th,L.A. Confidential,FALSE,35000000,126200000
1998,71st,Shakespeare in Love,TRUE,25000000,289317794
1998,71st,Elizabeth,FALSE,30000000,82150642
1998,71st,Life Is Beautiful,FALSE,20000000,229200000
1998,71st,Saving Private Ryan,FALSE,70000000,481840909
1998,71st,The Thin Red Line,FALSE,52000000,98126565
1999,72nd,American Beauty,TRUE,15000000,356296601
1999,72nd,The Cider House Rules,FALSE,24000000,88545092
1999,72nd,The Green Mile,FALSE,60000000,290701374
1999,72nd,The Insider,FALSE,90000000,60289912
1999,72nd,The Sixth Sense,FALSE,40000000,672800000
2000,73rd,Gladiator,TRUE,103000000,457600000
2000,73rd,Chocolat,FALSE,25000000,152699946
2000,73rd,"Crouching Tiger, Hidden Dragon",FALSE,17000000,213525736
2000,73rd,Erin Brockovich,FALSE,51000000,256271286
2000,73rd,Traffic,FALSE,46000000,207515725
2001,74th,A Beautiful Mind,TRUE,58000000,313542341
2001,74th,Gosford Park,FALSE,19800000,87754044
2001,74th,In the Bedroom,FALSE,1700000,43400000
2001,74th,The Lord of the Rings: The Fellowship of the Ring,FALSE,93000000,871500000
2001,74th,Moulin Rouge!,FALSE,52000000,179213434
2002,75th,Chicago,TRUE,45000000,306800000
2002,75th,Gangs of New York,FALSE,97000000,193772504
2002,75th,The Hours,FALSE,25000000,108846072
2002,75th,The Lord of the Rings: The Two Towers,FALSE,94000000,926050000
2002,75th,The Pianist,FALSE,35000000,120000000
2003,76th,The Lord of the Rings: The Return of the King,TRUE,94000000,1120000000
2003,76th,Lost in Translation,FALSE,4000000,119700000
2003,76th,Master and Commander: The Far Side of the World,FALSE,150000000,212000000
2003,76th,Mystic River,FALSE,30000000,156822020
2003,76th,Seabiscuit,FALSE,87000000,148336445
2004,77th,Million Dollar Baby,TRUE,30000000,216800000
2004,77th,The Aviator,FALSE,,
2004,77th,Finding Neverland,FALSE,25000000,118676606
2004,77th,Ray,FALSE,40000000,124731534
2004,77th,Sideways,FALSE,16000000,110000000
2005,78th,Crash,TRUE,6500000,98410061
2005,78th,Brokeback Mountain,FALSE,14000000,178000000
2005,78th,Capote,FALSE,7000000,49200000
2005,78th,"Good Night, and Good Luck",FALSE,7000000,56500000
2005,78th,Munich,FALSE,70000000,130400000
2006,79th,The Departed,TRUE,90000000,289800000
2006,79th,Babel,FALSE,25000000,135300000
2006,79th,Letters from Iwo Jima,FALSE,19000000,68700000
2006,79th,Little Miss Sunshine,FALSE,8000000,100523181
2006,79th,The Queen,FALSE,15386000,122248326.3
2007,80th,No Country for Old Men,TRUE,25000000,171600000
2007,80th,Atonement,FALSE,30000000,129266061
2007,80th,Juno,FALSE,6500000,231411584
2007,80th,Michael Clayton,FALSE,25000000,92991835
2007,80th,There Will Be Blood,FALSE,25000000,76200000
2008,81st,Slumdog Millionaire,TRUE,15000000,377900000
2008,81st,The Curious Case of Benjamin Button,FALSE,150000000,333900000
2008,81st,Frost/Nixon,FALSE,25000000,27426335
2008,81st,Milk,FALSE,20000000,54586584
2008,81st,The Reader,FALSE,32000000,108901967
2009,82nd,The Hurt Locker,TRUE,15000000,49200000
2009,82nd,Avatar,FALSE,237000000,2787965087
2009,82nd,The Blind Side,FALSE,29000000,309208309
2009,82nd,District 9,FALSE,30000000,211000000
2009,82nd,An Education,FALSE,7500000,26096852
2009,82nd,Inglourious Basterds,FALSE,75000000,321500000
2009,82nd,Precious,FALSE,10000000,63647833
2009,82nd,A Serious Man,FALSE,7000000,31312437
2009,82nd,Up,FALSE,175000000,731300000
2009,82nd,Up in the Air,FALSE,25000000,166842739
2010,83rd,The King's Speech,TRUE,12560000,414211549
2010,83rd,127 Hours,FALSE,18000000,60700000
2010,83rd,Black Swan,FALSE,13000000,329398046
2010,83rd,The Fighter,FALSE,25000000,129100000
2010,83rd,Inception,FALSE,160000000,825500000
2010,83rd,The Kids Are All Right,FALSE,4000000,34705850
2010,83rd,The Social Network,FALSE,40000000,224900000
2010,83rd,Toy Story 3,FALSE,200000000,1063000000
2010,83rd,True Grit,FALSE,38000000,252276927
2010,83rd,Winter's Bone,FALSE,2000000,13831503
2011,84th,The Artist,TRUE,15000000,133400000
2011,84th,The Descendants,FALSE,20000000,177243185
2011,84th,Extremely Loud and Incredibly Close,FALSE,40000000,55200000
2011,84th,The Help,FALSE,25000000,216600000
2011,84th,Hugo,FALSE,150000000,185800000
2011,84th,Midnight in Paris,FALSE,17000000,151119219
2011,84th,Moneyball,FALSE,50000000,110200000
2011,84th,The Tree of Life,FALSE,32000000,54303319
2011,84th,War Horse,FALSE,66000000,177600000
2012,85th,Argo,TRUE,44500000,232300000
2012,85th,Amour,FALSE,8900000,26000000
2012,85th,Beasts of the Southern Wild,FALSE,1800000,21900000
2012,85th,Django Unchained,FALSE,100000000,425400000
2012,85th,Les Mis̩rables,FALSE,61000000,441800000
2012,85th,Life of Pi,FALSE,120000000,609016565
2012,85th,Lincoln,FALSE,65000000,275300000
2012,85th,Silver Linings Playbook,FALSE,21000000,236400000
2012,85th,Zero Dark Thirty,FALSE,40000000,138800000
2013,86th,12 Years a Slave,TRUE,22000000,187700000
2013,86th,American Hustle,FALSE,40000000,251100000
2013,86th,Captain Phillips,FALSE,55000000,218800000
2013,86th,Dallas Buyers Club,FALSE,5000000,55200000
2013,86th,Gravity,FALSE,100000000,716400000
2013,86th,Her,FALSE,23000000,47400000
2013,86th,Nebraska,FALSE,12000000,24183912
2013,86th,Philomena,FALSE,12000000,100100000
2013,86th,The Wolf of Wall Street,FALSE,100000000,392000000
2014,87th,Birdman or (The Unexpected Virtue of Ignorance ),TRUE,16500000,76500000
2014,87th,American Sniper,FALSE,58800000,428100000
2014,87th,Boyhood,FALSE,4000000,44400000
2014,87th,The Grand Budapest Hotel,FALSE,23000000,174600000
2014,87th,The Imitation Game,FALSE,14000000,160800000
2014,87th,Selma,FALSE,20000000,53700000
2014,87th,The Theory of Everything,FALSE,15000000,104100000
2014,87th,Whiplash,FALSE,3300000,12200000
